sweep,family,N,alpha,t,method,variant,ok_reps,total_reps,status,wall_ms_mean,wall_ms_median,wall_ms_cv,run_build_ms_mean,run_build_ms_median,run_build_ms_cv,run_count_ms_mean,run_count_ms_median,run_count_ms_cv,run_sample_ms_mean,run_sample_ms_median,run_sample_ms_cv,build_events_ms_mean,build_events_ms_median,build_events_ms_cv,build_y_domain_ms_mean,build_y_domain_ms_median,build_y_domain_ms_cv,build_ranks_ms_mean,build_ranks_ms_median,build_ranks_ms_cv,build_active_indices_ms_mean,build_active_indices_ms_median,build_active_indices_ms_cv,phase1_count_ms_mean,phase1_count_ms_median,phase1_count_ms_cv,phase2_plan_ms_mean,phase2_plan_ms_median,phase2_plan_ms_cv,phase3_sample_ms_mean,phase3_sample_ms_median,phase3_sample_ms_cv,build_ms_mean,build_ms_median,build_ms_cv,build_points_ms_mean,build_points_ms_median,build_points_ms_cv,phase3_fill_ms_mean,phase3_fill_ms_median,phase3_fill_ms_cv,phase1_enumerate_materialize_ms_mean,phase1_enumerate_materialize_ms_median,phase1_enumerate_materialize_ms_cv,phase2_resample_ms_mean,phase2_resample_ms_median,phase2_resample_ms_cv,samples_per_sec_mean,samples_per_sec_median,samples_per_sec_cv,ns_per_sample_mean,ns_per_sample_median,ns_per_sample_cv
A_alpha,F0,1000000,100,10000000,kd_tree,sampling,3,3,OK,15181.6,15167.7,0.0028470488190985676,241.77217800000003,237.533025,0.027566677315880174,5621.9876343333335,5625.313314,0.003974257365223576,9317.858913999999,9307.302034,0.0017901891709003108,,,,,,,,,,,,,5621.985046333332,5625.310993,0.00397423247209115,890.1438709999999,890.627853,0.009541160610575233,,,,241.770084,237.531885,0.02756119703161564,241.1239873333333,237.260769,0.02543494723698145,8408.808495333333,8409.772701,0.002395019043656791,,,,,,,1073211.3568473037,1074425.2161871982,0.0017879621085082128,931.7858914,930.7302034,0.0017901891709003045
A_alpha,F0,1000000,100,10000000,ours,enum_sampling,3,3,OK,11896.9,12222.3,0.041045154009430804,2295.2739986666666,2461.444654,0.25139188109901234,8980.725721333334,8331.593775,0.12006713006254643,231.39346533333332,201.66634,0.38190013441445625,1271.41607,1537.889164,0.48119367178554595,169.00167033333332,167.806656,0.02921951076095038,687.5708286666667,682.289938,0.011898684767815772,110.001176,103.380319,0.5634724895406324,,,,,,,,,,,,,,,,,,,8980.719958333333,8331.587591,0.12006724841055919,231.38762499999999,201.661096,0.38190911578125886,49633602.87414223,49586857.182016596,0.34871427891460766,23.139346533333335,20.166634,0.3819001344144562
A_alpha,F0,1000000,100,10000000,ours,sampling,3,3,OK,9624.699999999999,9730.9,0.14541889235370106,1646.5180506666666,1612.560145,0.07352968771142109,706.2447506666667,712.100236,0.012549724011498748,6281.088102666666,6124.305269,0.09660668646545477,593.564812,676.708927,0.2028101597127832,165.52254766666667,164.972529,0.011783225730206777,695.0554783333333,690.844225,0.017655601673414244,127.800417,168.529008,0.4997690264415123,706.2412956666667,712.097324,0.01255004398956982,521.928538,521.653967,0.013519956498975092,5742.739273,5592.986759,0.10489295703768398,,,,,,,,,,,,,,,,1606606.4166517276,1632838.2666713211,0.09375756777596501,628.1088102666666,612.4305269,0.09660668646545481
A_alpha,F0,1000000,110,10000000,kd_tree,sampling,3,3,OK,15834.0,15824.6,0.0011565975179901732,243.751762,238.990014,0.034195954013706856,5869.712572666666,5875.436455,0.0033111187396810643,9720.549183666668,9718.761016,0.0019983831184632607,,,,,,,,,,,,,5869.7095813333335,5875.433834,0.003311193050849902,894.3895676666667,893.056718,0.008283215545999364,,,,243.750528,238.989014,0.03419631257099228,243.024775,238.716877,0.03166573329675,8803.519688,8793.184036,0.001894115559269221,,,,,,,1028752.566926527,1028937.7404729879,0.0019978407169914947,972.0549183666667,971.8761016,0.001998383118463318
A_alpha,F0,1000000,110,10000000,ours,enum_sampling,3,3,OK,10895.333333333334,11145.0,0.035247583985790115,2157.1040103333335,2409.311113,0.18262861411080256,8252.840025,8084.471945,0.029539797032930824,154.995113,154.432639,0.011072245529493268,1153.0209736666666,1478.653992,0.4310382096293386,165.37852233333334,163.329268,0.017689452411944535,695.3968396666666,689.060314,0.01382276715691073,96.36292200000001,37.55406,0.8634393544152016,,,,,,,,,,,,,,,,,,,8252.834192,8084.466071,0.029539849887423864,154.98987033333333,154.427546,0.011074022308391324,64526034.2777178,64753151.04859407,0.011017164758131038,15.4995113,15.4432639,0.011072245529493279
A_alpha,F0,1000000,110,10000000,ours,sampling,3,3,OK,8828.93,9266.25,0.07050429377646979,1582.9912153333335,1609.7092,0.026249690286494487,728.7733066666666,731.170582,0.005551850056144798,5644.971638333333,5636.689293,0.006452174193907765,590.527393,669.302993,0.20402321098335724,164.60575533333335,163.33605,0.011353474362767202,691.3886783333334,690.89235,0.004384519215375295,85.08188766666667,37.584775,0.7899328347251019,728.7701483333334,731.16584,0.0055514284115264975,516.7096313333333,507.356227,0.03959219637294057,5106.819180333333,5109.606551,0.003518660824425909,,,,,,,,,,,,,,,,1771561.6813535793,1774091.0453266667,0.006438650412193783,564.4971638333333,563.6689293,0.0064521741939077126
A_alpha,F0,1000000,120,10000000,kd_tree,sampling,3,3,OK,16455.833333333332,16228.8,0.024055002209549845,251.72741033333332,257.050556,0.04272888010400373,6006.180474000001,6014.537536,0.007938828947037948,10197.933449333332,9952.879173,0.034498825062491134,,,,,,,,,,,,,6006.176482333333,6014.533645,0.007938899092468062,885.4211996666667,885.033276,0.003340721990368029,,,,251.72542233333334,257.049524,0.042729200282558104,249.516118,255.477339,0.03706795386815581,9292.287469333334,9051.59127,0.037402562864175454,,,,,,,981731.4390278914,1004734.3915444919,0.03367757707751775,1019.7933449333333,995.2879173,0.03449882506249111
A_alpha,F0,1000000,120,10000000,ours,enum_sampling,3,3,OK,11799.066666666666,11605.2,0.02415313580864835,2149.4449926666666,2435.350594,0.20749500933702555,9157.543130666667,8519.431559,0.10520229245784492,156.85428633333333,153.814499,0.029010186312626595,1154.1637353333333,1504.631523,0.4415422350992011,167.602014,167.229648,0.021204946091036805,688.1605640000001,687.939744,0.0005747526773156695,84.47339033333334,38.044176,0.7810300595490702,,,,,,,,,,,,,,,,,,,9157.537757666667,8519.425846,0.10520238065905292,156.84879266666667,153.808505,0.029009925761228746,63806062.04358792,65013376.924889244,0.028429786540234172,15.685428633333332,15.3814499,0.02901018631262663
A_alpha,F0,1000000,120,10000000,ours,sampling,3,3,OK,8798.303333333333,9194.9,0.06826012308674885,1596.8349850000002,1618.232972,0.01970798040545982,711.5802756666667,710.582647,0.006337723673668972,5629.126044333333,5628.388332,0.007281814985996152,594.0628413333333,673.724275,0.19788274139629955,164.97529733333332,163.492179,0.013322921772280292,692.414584,693.985596,0.004327264149776046,89.49931266666665,37.648437,0.820038037665238,711.5772543333334,710.579556,0.0063372905188614935,498.2579846666667,498.239189,0.040261218082203565,5123.777437000001,5127.454706,0.003096543959522384,,,,,,,,,,,,,,,,1776568.8860907517,1776707.542218677,0.007280673277652689,562.9126044333333,562.8388332,0.007281814985996188
A_alpha,F0,1000000,130,10000000,kd_tree,sampling,3,3,OK,17090.399999999998,17008.0,0.027610345812467726,251.25620733333335,256.658829,0.040374560716047274,6355.627908666666,6441.534529,0.02077988666507881,10483.511067333333,10291.657639,0.03571831625798011,,,,,,,,,,,,,6355.624166333334,6441.531397,0.02077987589157957,887.3774506666667,886.650934,0.003868723023481992,,,,251.254867,256.657719,0.04037524449104495,249.22621266666667,255.211356,0.035343042438263236,9576.489806333333,9387.582892,0.039292273280275514,,,,,,,955070.5423751288,971660.7713518599,0.03493398306140259,1048.3511067333332,1029.1657639,0.03571831625798004
A_alpha,F0,1000000,130,10000000,ours,enum_sampling,3,3,OK,11443.833333333334,11658.3,0.03587137455937429,1569.813599,1603.81094,0.03285544606577392,8850.978617666668,8744.456378,0.029276470817235757,160.135974,158.847546,0.019969988189766814,593.0545606666666,677.842494,0.2073865196300443,164.76408466666666,163.479303,0.01117289586237046,682.2861293333334,684.086397,0.004531040659455126,83.98550266666666,37.570099,0.7821432367939327,,,,,,,,,,,,,,,,,,,8850.975109666666,8744.452156,0.029276465460536742,160.132202,158.843474,0.019973426427405898,62471580.72648636,62953443.42304161,0.019759840542285717,16.0135974,15.8847546,0.019969988189766752
