# task_id	sweep	family	N	alpha	t	method	variant
A_alpha__F0__n1000000__a70__t10000000__ours__enum_sampling	A_alpha	F0	1000000	70	10000000	ours	enum_sampling
A_alpha__F0__n1000000__a70__t10000000__ours__sampling	A_alpha	F0	1000000	70	10000000	ours	sampling
A_alpha__F0__n1000000__a70__t10000000__kd_tree__sampling	A_alpha	F0	1000000	70	10000000	kd_tree	sampling
A_alpha__F1__n1000000__a70__t10000000__ours__enum_sampling	A_alpha	F1	1000000	70	10000000	ours	enum_sampling
A_alpha__F1__n1000000__a70__t10000000__ours__sampling	A_alpha	F1	1000000	70	10000000	ours	sampling
A_alpha__F1__n1000000__a70__t10000000__kd_tree__sampling	A_alpha	F1	1000000	70	10000000	kd_tree	sampling
A_alpha__F0__n1000000__a80__t10000000__ours__enum_sampling	A_alpha	F0	1000000	80	10000000	ours	enum_sampling
A_alpha__F0__n1000000__a80__t10000000__ours__sampling	A_alpha	F0	1000000	80	10000000	ours	sampling
A_alpha__F0__n1000000__a80__t10000000__kd_tree__sampling	A_alpha	F0	1000000	80	10000000	kd_tree	sampling
A_alpha__F1__n1000000__a80__t10000000__ours__enum_sampling	A_alpha	F1	1000000	80	10000000	ours	enum_sampling
A_alpha__F1__n1000000__a80__t10000000__ours__sampling	A_alpha	F1	1000000	80	10000000	ours	sampling
A_alpha__F1__n1000000__a80__t10000000__kd_tree__sampling	A_alpha	F1	1000000	80	10000000	kd_tree	sampling
A_alpha__F0__n1000000__a90__t10000000__ours__enum_sampling	A_alpha	F0	1000000	90	10000000	ours	enum_sampling
A_alpha__F0__n1000000__a90__t10000000__ours__sampling	A_alpha	F0	1000000	90	10000000	ours	sampling
A_alpha__F0__n1000000__a90__t10000000__kd_tree__sampling	A_alpha	F0	1000000	90	10000000	kd_tree	sampling
A_alpha__F1__n1000000__a90__t10000000__ours__enum_sampling	A_alpha	F1	1000000	90	10000000	ours	enum_sampling
A_alpha__F1__n1000000__a90__t10000000__ours__sampling	A_alpha	F1	1000000	90	10000000	ours	sampling
A_alpha__F1__n1000000__a90__t10000000__kd_tree__sampling	A_alpha	F1	1000000	90	10000000	kd_tree	sampling
A_alpha__F0__n1000000__a100__t10000000__ours__enum_sampling	A_alpha	F0	1000000	100	10000000	ours	enum_sampling
A_alpha__F0__n1000000__a100__t10000000__ours__sampling	A_alpha	F0	1000000	100	10000000	ours	sampling
A_alpha__F0__n1000000__a100__t10000000__kd_tree__sampling	A_alpha	F0	1000000	100	10000000	kd_tree	sampling
A_alpha__F1__n1000000__a100__t10000000__ours__enum_sampling	A_alpha	F1	1000000	100	10000000	ours	enum_sampling
A_alpha__F1__n1000000__a100__t10000000__ours__sampling	A_alpha	F1	1000000	100	10000000	ours	sampling
A_alpha__F1__n1000000__a100__t10000000__kd_tree__sampling	A_alpha	F1	1000000	100	10000000	kd_tree	sampling
A_alpha__F0__n1000000__a110__t10000000__ours__enum_sampling	A_alpha	F0	1000000	110	10000000	ours	enum_sampling
A_alpha__F0__n1000000__a110__t10000000__ours__sampling	A_alpha	F0	1000000	110	10000000	ours	sampling
A_alpha__F0__n1000000__a110__t10000000__kd_tree__sampling	A_alpha	F0	1000000	110	10000000	kd_tree	sampling
A_alpha__F1__n1000000__a110__t10000000__ours__enum_sampling	A_alpha	F1	1000000	110	10000000	ours	enum_sampling
A_alpha__F1__n1000000__a110__t10000000__ours__sampling	A_alpha	F1	1000000	110	10000000	ours	sampling
A_alpha__F1__n1000000__a110__t10000000__kd_tree__sampling	A_alpha	F1	1000000	110	10000000	kd_tree	sampling
A_alpha__F0__n1000000__a120__t10000000__ours__enum_sampling	A_alpha	F0	1000000	120	10000000	ours	enum_sampling
A_alpha__F0__n1000000__a120__t10000000__ours__sampling	A_alpha	F0	1000000	120	10000000	ours	sampling
A_alpha__F0__n1000000__a120__t10000000__kd_tree__sampling	A_alpha	F0	1000000	120	10000000	kd_tree	sampling
A_alpha__F1__n1000000__a120__t10000000__ours__enum_sampling	A_alpha	F1	1000000	120	10000000	ours	enum_sampling
A_alpha__F1__n1000000__a120__t10000000__ours__sampling	A_alpha	F1	1000000	120	10000000	ours	sampling
A_alpha__F1__n1000000__a120__t10000000__kd_tree__sampling	A_alpha	F1	1000000	120	10000000	kd_tree	sampling
A_alpha__F0__n1000000__a130__t10000000__ours__enum_sampling	A_alpha	F0	1000000	130	10000000	ours	enum_sampling
A_alpha__F0__n1000000__a130__t10000000__ours__sampling	A_alpha	F0	1000000	130	10000000	ours	sampling
A_alpha__F0__n1000000__a130__t10000000__kd_tree__sampling	A_alpha	F0	1000000	130	10000000	kd_tree	sampling
A_alpha__F1__n1000000__a130__t10000000__ours__enum_sampling	A_alpha	F1	1000000	130	10000000	ours	enum_sampling
A_alpha__F1__n1000000__a130__t10000000__ours__sampling	A_alpha	F1	1000000	130	10000000	ours	sampling
A_alpha__F1__n1000000__a130__t10000000__kd_tree__sampling	A_alpha	F1	1000000	130	10000000	kd_tree	sampling
