# task_id	sweep	family	N	alpha	t	method	variant
C_t__F0__n1000000__a100__t100000__ours__enum_sampling	C_t	F0	1000000	100	100000	ours	enum_sampling
C_t__F0__n1000000__a100__t100000__ours__sampling	C_t	F0	1000000	100	100000	ours	sampling
C_t__F0__n1000000__a100__t100000__kd_tree__sampling	C_t	F0	1000000	100	100000	kd_tree	sampling
C_t__F0__n1000000__a100__t300000__ours__enum_sampling	C_t	F0	1000000	100	300000	ours	enum_sampling
C_t__F0__n1000000__a100__t300000__ours__sampling	C_t	F0	1000000	100	300000	ours	sampling
C_t__F0__n1000000__a100__t300000__kd_tree__sampling	C_t	F0	1000000	100	300000	kd_tree	sampling
C_t__F0__n1000000__a100__t1000000__ours__enum_sampling	C_t	F0	1000000	100	1000000	ours	enum_sampling
C_t__F0__n1000000__a100__t1000000__ours__sampling	C_t	F0	1000000	100	1000000	ours	sampling
C_t__F0__n1000000__a100__t1000000__kd_tree__sampling	C_t	F0	1000000	100	1000000	kd_tree	sampling
C_t__F0__n1000000__a100__t3000000__ours__enum_sampling	C_t	F0	1000000	100	3000000	ours	enum_sampling
C_t__F0__n1000000__a100__t3000000__ours__sampling	C_t	F0	1000000	100	3000000	ours	sampling
C_t__F0__n1000000__a100__t3000000__kd_tree__sampling	C_t	F0	1000000	100	3000000	kd_tree	sampling
C_t__F0__n1000000__a100__t10000000__ours__enum_sampling	C_t	F0	1000000	100	10000000	ours	enum_sampling
C_t__F0__n1000000__a100__t10000000__ours__sampling	C_t	F0	1000000	100	10000000	ours	sampling
C_t__F0__n1000000__a100__t10000000__kd_tree__sampling	C_t	F0	1000000	100	10000000	kd_tree	sampling
C_t__F0__n1000000__a100__t30000000__ours__enum_sampling	C_t	F0	1000000	100	30000000	ours	enum_sampling
C_t__F0__n1000000__a100__t30000000__ours__sampling	C_t	F0	1000000	100	30000000	ours	sampling
C_t__F0__n1000000__a100__t30000000__kd_tree__sampling	C_t	F0	1000000	100	30000000	kd_tree	sampling
