task_id,sweep,family,N,alpha,t,method,variant,out_dir,log_file,status
B_N__F0__n100000__a100__t10000000__ours__enum_sampling,B_N,F0,100000,100,10000000,ours,enum_sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/out/B_N/B_N__F0__n100000__a100__t10000000__ours__enum_sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/logs/B_N__F0__n100000__a100__t10000000__ours__enum_sampling.log,
B_N__F0__n100000__a100__t10000000__ours__sampling,B_N,F0,100000,100,10000000,ours,sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/out/B_N/B_N__F0__n100000__a100__t10000000__ours__sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/logs/B_N__F0__n100000__a100__t10000000__ours__sampling.log,
B_N__F0__n100000__a100__t10000000__kd_tree__sampling,B_N,F0,100000,100,10000000,kd_tree,sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/out/B_N/B_N__F0__n100000__a100__t10000000__kd_tree__sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/logs/B_N__F0__n100000__a100__t10000000__kd_tree__sampling.log,
B_N__F0__n200000__a100__t10000000__ours__enum_sampling,B_N,F0,200000,100,10000000,ours,enum_sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/out/B_N/B_N__F0__n200000__a100__t10000000__ours__enum_sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/logs/B_N__F0__n200000__a100__t10000000__ours__enum_sampling.log,
B_N__F0__n200000__a100__t10000000__ours__sampling,B_N,F0,200000,100,10000000,ours,sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/out/B_N/B_N__F0__n200000__a100__t10000000__ours__sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/logs/B_N__F0__n200000__a100__t10000000__ours__sampling.log,
B_N__F0__n200000__a100__t10000000__kd_tree__sampling,B_N,F0,200000,100,10000000,kd_tree,sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/out/B_N/B_N__F0__n200000__a100__t10000000__kd_tree__sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/logs/B_N__F0__n200000__a100__t10000000__kd_tree__sampling.log,
B_N__F0__n500000__a100__t10000000__ours__enum_sampling,B_N,F0,500000,100,10000000,ours,enum_sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/out/B_N/B_N__F0__n500000__a100__t10000000__ours__enum_sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/logs/B_N__F0__n500000__a100__t10000000__ours__enum_sampling.log,
B_N__F0__n500000__a100__t10000000__ours__sampling,B_N,F0,500000,100,10000000,ours,sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/out/B_N/B_N__F0__n500000__a100__t10000000__ours__sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/logs/B_N__F0__n500000__a100__t10000000__ours__sampling.log,
B_N__F0__n500000__a100__t10000000__kd_tree__sampling,B_N,F0,500000,100,10000000,kd_tree,sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/out/B_N/B_N__F0__n500000__a100__t10000000__kd_tree__sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/logs/B_N__F0__n500000__a100__t10000000__kd_tree__sampling.log,
B_N__F0__n1000000__a100__t10000000__ours__enum_sampling,B_N,F0,1000000,100,10000000,ours,enum_sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/out/B_N/B_N__F0__n1000000__a100__t10000000__ours__enum_sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/logs/B_N__F0__n1000000__a100__t10000000__ours__enum_sampling.log,
B_N__F0__n1000000__a100__t10000000__ours__sampling,B_N,F0,1000000,100,10000000,ours,sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/out/B_N/B_N__F0__n1000000__a100__t10000000__ours__sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/logs/B_N__F0__n1000000__a100__t10000000__ours__sampling.log,
B_N__F0__n1000000__a100__t10000000__kd_tree__sampling,B_N,F0,1000000,100,10000000,kd_tree,sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/out/B_N/B_N__F0__n1000000__a100__t10000000__kd_tree__sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/logs/B_N__F0__n1000000__a100__t10000000__kd_tree__sampling.log,
