task_id,sweep,family,N,alpha,t,method,variant,out_dir,log_file,status
C_t__F0__n1000000__a100__t100000__ours__enum_sampling,C_t,F0,1000000,100,100000,ours,enum_sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/out/C_t/C_t__F0__n1000000__a100__t100000__ours__enum_sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/logs/C_t__F0__n1000000__a100__t100000__ours__enum_sampling.log,
C_t__F0__n1000000__a100__t100000__ours__sampling,C_t,F0,1000000,100,100000,ours,sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/out/C_t/C_t__F0__n1000000__a100__t100000__ours__sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/logs/C_t__F0__n1000000__a100__t100000__ours__sampling.log,
C_t__F0__n1000000__a100__t100000__kd_tree__sampling,C_t,F0,1000000,100,100000,kd_tree,sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/out/C_t/C_t__F0__n1000000__a100__t100000__kd_tree__sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/logs/C_t__F0__n1000000__a100__t100000__kd_tree__sampling.log,
C_t__F0__n1000000__a100__t300000__ours__enum_sampling,C_t,F0,1000000,100,300000,ours,enum_sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/out/C_t/C_t__F0__n1000000__a100__t300000__ours__enum_sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/logs/C_t__F0__n1000000__a100__t300000__ours__enum_sampling.log,
C_t__F0__n1000000__a100__t300000__ours__sampling,C_t,F0,1000000,100,300000,ours,sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/out/C_t/C_t__F0__n1000000__a100__t300000__ours__sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/logs/C_t__F0__n1000000__a100__t300000__ours__sampling.log,
C_t__F0__n1000000__a100__t300000__kd_tree__sampling,C_t,F0,1000000,100,300000,kd_tree,sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/out/C_t/C_t__F0__n1000000__a100__t300000__kd_tree__sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/logs/C_t__F0__n1000000__a100__t300000__kd_tree__sampling.log,
C_t__F0__n1000000__a100__t1000000__ours__enum_sampling,C_t,F0,1000000,100,1000000,ours,enum_sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/out/C_t/C_t__F0__n1000000__a100__t1000000__ours__enum_sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/logs/C_t__F0__n1000000__a100__t1000000__ours__enum_sampling.log,
C_t__F0__n1000000__a100__t1000000__ours__sampling,C_t,F0,1000000,100,1000000,ours,sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/out/C_t/C_t__F0__n1000000__a100__t1000000__ours__sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/logs/C_t__F0__n1000000__a100__t1000000__ours__sampling.log,
C_t__F0__n1000000__a100__t1000000__kd_tree__sampling,C_t,F0,1000000,100,1000000,kd_tree,sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/out/C_t/C_t__F0__n1000000__a100__t1000000__kd_tree__sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/logs/C_t__F0__n1000000__a100__t1000000__kd_tree__sampling.log,
C_t__F0__n1000000__a100__t3000000__ours__enum_sampling,C_t,F0,1000000,100,3000000,ours,enum_sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/out/C_t/C_t__F0__n1000000__a100__t3000000__ours__enum_sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/logs/C_t__F0__n1000000__a100__t3000000__ours__enum_sampling.log,
C_t__F0__n1000000__a100__t3000000__ours__sampling,C_t,F0,1000000,100,3000000,ours,sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/out/C_t/C_t__F0__n1000000__a100__t3000000__ours__sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/logs/C_t__F0__n1000000__a100__t3000000__ours__sampling.log,
C_t__F0__n1000000__a100__t3000000__kd_tree__sampling,C_t,F0,1000000,100,3000000,kd_tree,sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/out/C_t/C_t__F0__n1000000__a100__t3000000__kd_tree__sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/logs/C_t__F0__n1000000__a100__t3000000__kd_tree__sampling.log,
C_t__F0__n1000000__a100__t10000000__ours__enum_sampling,C_t,F0,1000000,100,10000000,ours,enum_sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/out/C_t/C_t__F0__n1000000__a100__t10000000__ours__enum_sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/logs/C_t__F0__n1000000__a100__t10000000__ours__enum_sampling.log,
C_t__F0__n1000000__a100__t10000000__ours__sampling,C_t,F0,1000000,100,10000000,ours,sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/out/C_t/C_t__F0__n1000000__a100__t10000000__ours__sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/logs/C_t__F0__n1000000__a100__t10000000__ours__sampling.log,
C_t__F0__n1000000__a100__t10000000__kd_tree__sampling,C_t,F0,1000000,100,10000000,kd_tree,sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/out/C_t/C_t__F0__n1000000__a100__t10000000__kd_tree__sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/logs/C_t__F0__n1000000__a100__t10000000__kd_tree__sampling.log,
C_t__F0__n1000000__a100__t30000000__ours__enum_sampling,C_t,F0,1000000,100,30000000,ours,enum_sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/out/C_t/C_t__F0__n1000000__a100__t30000000__ours__enum_sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/logs/C_t__F0__n1000000__a100__t30000000__ours__enum_sampling.log,
C_t__F0__n1000000__a100__t30000000__ours__sampling,C_t,F0,1000000,100,30000000,ours,sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/out/C_t/C_t__F0__n1000000__a100__t30000000__ours__sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/logs/C_t__F0__n1000000__a100__t30000000__ours__sampling.log,
C_t__F0__n1000000__a100__t30000000__kd_tree__sampling,C_t,F0,1000000,100,30000000,kd_tree,sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/out/C_t/C_t__F0__n1000000__a100__t30000000__kd_tree__sampling,/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/logs/C_t__F0__n1000000__a100__t30000000__kd_tree__sampling.log,
