sweep,family,N,alpha,t,method,variant,ok_reps,total_reps,status,wall_ms_mean,wall_ms_median,wall_ms_cv,run_build_ms_mean,run_build_ms_median,run_build_ms_cv,run_count_ms_mean,run_count_ms_median,run_count_ms_cv,run_sample_ms_mean,run_sample_ms_median,run_sample_ms_cv,build_events_ms_mean,build_events_ms_median,build_events_ms_cv,build_y_domain_ms_mean,build_y_domain_ms_median,build_y_domain_ms_cv,build_ranks_ms_mean,build_ranks_ms_median,build_ranks_ms_cv,build_active_indices_ms_mean,build_active_indices_ms_median,build_active_indices_ms_cv,phase1_count_ms_mean,phase1_count_ms_median,phase1_count_ms_cv,phase2_plan_ms_mean,phase2_plan_ms_median,phase2_plan_ms_cv,phase3_sample_ms_mean,phase3_sample_ms_median,phase3_sample_ms_cv,build_ms_mean,build_ms_median,build_ms_cv,build_points_ms_mean,build_points_ms_median,build_points_ms_cv,phase3_fill_ms_mean,phase3_fill_ms_median,phase3_fill_ms_cv,phase1_enumerate_materialize_ms_mean,phase1_enumerate_materialize_ms_median,phase1_enumerate_materialize_ms_cv,phase2_resample_ms_mean,phase2_resample_ms_median,phase2_resample_ms_cv,samples_per_sec_mean,samples_per_sec_median,samples_per_sec_cv,ns_per_sample_mean,ns_per_sample_median,ns_per_sample_cv
A_alpha,F0,1000000,100,10000000,kd_tree,sampling,3,3,OK,15378.466666666667,15325.7,0.011205727387378041,245.2194176666667,238.860649,0.04341481299430989,5676.801571333333,5655.912722,0.015427035196981347,9456.434201,9430.953707,0.007874780143600204,,,,,,,,,,,,,5676.798885,5655.910353,0.015426958565942924,879.0270690000001,880.325637,0.00502385213062256,,,,245.2181443333333,238.859669,0.04341377575354007,244.44069933333333,238.587324,0.04048333570263154,8551.966874,8528.47239,0.008682897514292735,,,,,,,1057546.391761376,1060338.1493196846,0.00784574730834784,945.6434201000001,943.0953707,0.007874780143600234
A_alpha,F0,1000000,100,10000000,ours,enum_sampling,3,3,OK,8029.223333333332,8076.0,0.008259192039504905,1207.767767,1369.861512,0.19282268257703103,6418.623474666667,6187.697129,0.05164142991718428,160.798376,156.500361,0.03883617858067245,682.6855383333333,891.221892,0.44433260823519977,190.57445133333331,192.254513,0.019831635142533853,193.426214,190.30572,0.023328606937025584,70.878692,30.623619,0.8034815348409216,,,,,,,,,,,,,,,,,,,6418.620761333333,6187.694989,0.051641385208215,160.79437266666667,156.496161,0.03883741114442036,62281110.30159817,63897616.185051486,0.037799349743561916,16.0798376,15.6500361,0.03883617858067245
A_alpha,F0,1000000,100,10000000,ours,sampling,3,3,OK,6662.580000000001,6771.52,0.03188129843712321,803.5850006666666,790.014101,0.10623516824260655,458.56356366666665,458.909474,0.004448591331783752,4751.2032303333335,4634.248009,0.03562141669460053,266.661108,251.197725,0.11174970397340217,185.50320066666666,187.334226,0.02869006528045218,198.69419033333335,190.30036,0.05996792787359778,70.49856933333334,32.15403,0.7848186072712584,458.5563306666667,458.903834,0.004454134983968171,479.67021,471.735441,0.039966539201136936,4269.297723,4165.416054,0.03526551582038994,,,,,,,,,,,,,,,,2107338.330171009,2157847.396293719,0.03474693137351158,475.1203230333333,463.4248009,0.0356214166946006
A_alpha,F0,1000000,110,10000000,kd_tree,sampling,3,3,OK,15917.4,15888.1,0.0045330820180975295,247.41984200000002,236.772017,0.06582994300032712,5878.662527666667,5840.744133,0.009730098900807093,9791.307123666666,9810.551752,0.0036503023066429153,,,,,,,,,,,,,5878.660091000001,5840.742323,0.009730122810527014,878.5154786666667,878.576091,0.00725355721087938,,,,247.41721866666663,236.771087,0.06582149776432514,246.106587,236.547251,0.059964219622733746,8895.473057333335,8922.600329,0.004633019917426853,,,,,,,1021327.739019113,1019310.6619065925,0.0036590103462448677,979.1307123666667,981.0551752,0.003650302306642919
A_alpha,F0,1000000,110,10000000,ours,enum_sampling,3,3,OK,8353.323333333334,8347.07,0.0034192937703842806,1202.9942593333333,1366.72116,0.20561160867590506,6751.644674,6507.729402,0.05881355563885782,159.27328133333333,157.959703,0.017044536267967605,676.4757989999999,894.644007,0.45627661655672747,190.43102033333332,191.714133,0.018552809383699072,192.71990666666667,190.083873,0.019473130396264617,73.78973,44.169442,0.7006839503365703,,,,,,,,,,,,,,,,,,,6751.641197666667,6507.726332,0.058813579365081255,159.269805,157.956283,0.01704475287559115,62803227.2142529,63307285.40303726,0.016869353243632056,15.927328133333333,15.7959703,0.017044536267967553
A_alpha,F0,1000000,110,10000000,ours,sampling,3,3,OK,7181.066666666667,7174.35,0.03809738067290652,829.0049613333334,856.444741,0.10720290306087893,499.56823833333334,503.610275,0.013830324480939411,5153.675650333334,4689.791642,0.13096686366603477,262.029912,257.692471,0.06387052171889887,187.69743233333335,187.964914,0.03859943899274241,193.31604900000002,190.042594,0.024978173269033847,96.48292299999999,84.34179,0.6143317951559404,499.5634186666666,503.604195,0.013829228225205681,492.9971796666667,486.323163,0.04146717895819708,4658.4554493333335,4201.206941,0.1406710919759831,,,,,,,,,,,,,,,,1971313.0854795414,2132290.891229321,0.1198820918961794,515.3675650333333,468.9791642,0.13096686366603477
A_alpha,F0,1000000,120,10000000,kd_tree,sampling,3,3,OK,16467.866666666665,16479.7,0.005248034311231071,245.528181,237.583412,0.05258398591341713,6166.486942,6119.359886,0.015618539121539775,10055.847844,10039.606209,0.002885730181893599,,,,,,,,,,,,,6166.484282,6119.356686,0.015618569768401595,875.282609,874.610405,0.0043101371131855195,,,,245.52687766666668,237.582012,0.052583892145514496,244.84866733333334,237.358357,0.05011776541745692,9160.934120333333,9151.771414,0.003020706521414997,,,,,,,994454.4976159706,996055.0037346589,0.0028802116634536546,1005.5847844,1003.9606209,0.002885730181893635
A_alpha,F0,1000000,120,10000000,ours,enum_sampling,3,3,OK,8585.326666666666,8646.46,0.012189063858423466,1210.3936716666667,1387.505874,0.2100700529958809,6963.584353666666,6758.067116,0.04550648047701211,168.32528633333334,167.850735,0.03604633807477277,689.4524323333334,906.415233,0.4569319112168902,186.02031399999998,186.570981,0.0310519352171521,198.41634566666667,198.19241,0.0031106501377738613,66.89677433333333,30.696577,0.7657260371905427,,,,,,,,,,,,,,,,,,,6963.581010333332,6758.063926,0.04550646184244975,168.32093633333332,167.845865,0.03604569532822968,59485797.264115684,59576742.39555758,0.03592930209038473,16.832528633333332,16.7850735,0.036046338074772824
A_alpha,F0,1000000,120,10000000,ours,sampling,3,3,OK,6911.213333333333,7067.74,0.0326143391478518,794.767794,744.623192,0.10229286518844143,480.1721826666667,482.338288,0.019385089604261174,4960.827996333333,4836.362577,0.03625648428145692,257.05723933333337,252.843532,0.02804610298636913,188.56901566666667,190.909058,0.035950136870100895,193.64095899999998,190.74904,0.023575958771447872,78.712226,36.075255,0.813418274646402,480.16803266666665,482.333728,0.01938409273858364,502.83594,491.952507,0.03491649503232875,4455.771752,4345.208546,0.036437419433606726,,,,,,,,,,,,,,,,2018379.4774090105,2067669.6258374841,0.035350852352996655,496.0827996333333,483.6362577,0.03625648428145693
A_alpha,F0,1000000,130,10000000,kd_tree,sampling,3,3,OK,17126.100000000002,17194.7,0.010459862534344675,241.27255866666667,237.065622,0.03181498040183911,6427.5138640000005,6446.554889,0.010304254333394162,10457.327822333333,10513.47177,0.01042334930872423,,,,,,,,,,,,,6427.511251,6446.552779,0.010304233017941566,878.613182,877.220955,0.0027565218002026364,,,,241.27152866666665,237.064532,0.03181484120380091,240.59873133333335,236.843526,0.029279627549745772,9557.568444999999,9613.669704,0.011731438760776751,,,,,,,956371.8392608952,951160.5888869952,0.01049306832991119,1045.7327822333334,1051.347177,0.010423349308724185
