# task_id	sweep	family	N	alpha	t	method	variant
A_alpha__F0__n1000000__a0p1__t10000000__ours__enum_sampling	A_alpha	F0	1000000	0.1	10000000	ours	enum_sampling
A_alpha__F0__n1000000__a0p1__t10000000__ours__sampling	A_alpha	F0	1000000	0.1	10000000	ours	sampling
A_alpha__F0__n1000000__a0p1__t10000000__kd_tree__sampling	A_alpha	F0	1000000	0.1	10000000	kd_tree	sampling
A_alpha__F1__n1000000__a0p1__t10000000__ours__enum_sampling	A_alpha	F1	1000000	0.1	10000000	ours	enum_sampling
A_alpha__F1__n1000000__a0p1__t10000000__ours__sampling	A_alpha	F1	1000000	0.1	10000000	ours	sampling
A_alpha__F1__n1000000__a0p1__t10000000__kd_tree__sampling	A_alpha	F1	1000000	0.1	10000000	kd_tree	sampling
A_alpha__F0__n1000000__a0p3__t10000000__ours__enum_sampling	A_alpha	F0	1000000	0.3	10000000	ours	enum_sampling
A_alpha__F0__n1000000__a0p3__t10000000__ours__sampling	A_alpha	F0	1000000	0.3	10000000	ours	sampling
A_alpha__F0__n1000000__a0p3__t10000000__kd_tree__sampling	A_alpha	F0	1000000	0.3	10000000	kd_tree	sampling
A_alpha__F1__n1000000__a0p3__t10000000__ours__enum_sampling	A_alpha	F1	1000000	0.3	10000000	ours	enum_sampling
A_alpha__F1__n1000000__a0p3__t10000000__ours__sampling	A_alpha	F1	1000000	0.3	10000000	ours	sampling
A_alpha__F1__n1000000__a0p3__t10000000__kd_tree__sampling	A_alpha	F1	1000000	0.3	10000000	kd_tree	sampling
A_alpha__F0__n1000000__a1__t10000000__ours__enum_sampling	A_alpha	F0	1000000	1	10000000	ours	enum_sampling
A_alpha__F0__n1000000__a1__t10000000__ours__sampling	A_alpha	F0	1000000	1	10000000	ours	sampling
A_alpha__F0__n1000000__a1__t10000000__kd_tree__sampling	A_alpha	F0	1000000	1	10000000	kd_tree	sampling
A_alpha__F1__n1000000__a1__t10000000__ours__enum_sampling	A_alpha	F1	1000000	1	10000000	ours	enum_sampling
A_alpha__F1__n1000000__a1__t10000000__ours__sampling	A_alpha	F1	1000000	1	10000000	ours	sampling
A_alpha__F1__n1000000__a1__t10000000__kd_tree__sampling	A_alpha	F1	1000000	1	10000000	kd_tree	sampling
A_alpha__F0__n1000000__a3__t10000000__ours__enum_sampling	A_alpha	F0	1000000	3	10000000	ours	enum_sampling
A_alpha__F0__n1000000__a3__t10000000__ours__sampling	A_alpha	F0	1000000	3	10000000	ours	sampling
A_alpha__F0__n1000000__a3__t10000000__kd_tree__sampling	A_alpha	F0	1000000	3	10000000	kd_tree	sampling
A_alpha__F1__n1000000__a3__t10000000__ours__enum_sampling	A_alpha	F1	1000000	3	10000000	ours	enum_sampling
A_alpha__F1__n1000000__a3__t10000000__ours__sampling	A_alpha	F1	1000000	3	10000000	ours	sampling
A_alpha__F1__n1000000__a3__t10000000__kd_tree__sampling	A_alpha	F1	1000000	3	10000000	kd_tree	sampling
A_alpha__F0__n1000000__a10__t10000000__ours__enum_sampling	A_alpha	F0	1000000	10	10000000	ours	enum_sampling
A_alpha__F0__n1000000__a10__t10000000__ours__sampling	A_alpha	F0	1000000	10	10000000	ours	sampling
A_alpha__F0__n1000000__a10__t10000000__kd_tree__sampling	A_alpha	F0	1000000	10	10000000	kd_tree	sampling
A_alpha__F1__n1000000__a10__t10000000__ours__enum_sampling	A_alpha	F1	1000000	10	10000000	ours	enum_sampling
A_alpha__F1__n1000000__a10__t10000000__ours__sampling	A_alpha	F1	1000000	10	10000000	ours	sampling
A_alpha__F1__n1000000__a10__t10000000__kd_tree__sampling	A_alpha	F1	1000000	10	10000000	kd_tree	sampling
A_alpha__F0__n1000000__a30__t10000000__ours__enum_sampling	A_alpha	F0	1000000	30	10000000	ours	enum_sampling
A_alpha__F0__n1000000__a30__t10000000__ours__sampling	A_alpha	F0	1000000	30	10000000	ours	sampling
A_alpha__F0__n1000000__a30__t10000000__kd_tree__sampling	A_alpha	F0	1000000	30	10000000	kd_tree	sampling
A_alpha__F1__n1000000__a30__t10000000__ours__enum_sampling	A_alpha	F1	1000000	30	10000000	ours	enum_sampling
A_alpha__F1__n1000000__a30__t10000000__ours__sampling	A_alpha	F1	1000000	30	10000000	ours	sampling
A_alpha__F1__n1000000__a30__t10000000__kd_tree__sampling	A_alpha	F1	1000000	30	10000000	kd_tree	sampling
A_alpha__F0__n1000000__a100__t10000000__ours__enum_sampling	A_alpha	F0	1000000	100	10000000	ours	enum_sampling
A_alpha__F0__n1000000__a100__t10000000__ours__sampling	A_alpha	F0	1000000	100	10000000	ours	sampling
A_alpha__F0__n1000000__a100__t10000000__kd_tree__sampling	A_alpha	F0	1000000	100	10000000	kd_tree	sampling
A_alpha__F1__n1000000__a100__t10000000__ours__enum_sampling	A_alpha	F1	1000000	100	10000000	ours	enum_sampling
A_alpha__F1__n1000000__a100__t10000000__ours__sampling	A_alpha	F1	1000000	100	10000000	ours	sampling
A_alpha__F1__n1000000__a100__t10000000__kd_tree__sampling	A_alpha	F1	1000000	100	10000000	kd_tree	sampling
A_alpha__F0__n1000000__a300__t10000000__ours__enum_sampling	A_alpha	F0	1000000	300	10000000	ours	enum_sampling
A_alpha__F0__n1000000__a300__t10000000__ours__sampling	A_alpha	F0	1000000	300	10000000	ours	sampling
A_alpha__F0__n1000000__a300__t10000000__kd_tree__sampling	A_alpha	F0	1000000	300	10000000	kd_tree	sampling
A_alpha__F1__n1000000__a300__t10000000__ours__enum_sampling	A_alpha	F1	1000000	300	10000000	ours	enum_sampling
A_alpha__F1__n1000000__a300__t10000000__ours__sampling	A_alpha	F1	1000000	300	10000000	ours	sampling
A_alpha__F1__n1000000__a300__t10000000__kd_tree__sampling	A_alpha	F1	1000000	300	10000000	kd_tree	sampling
A_alpha__F0__n1000000__a1000__t10000000__ours__enum_sampling	A_alpha	F0	1000000	1000	10000000	ours	enum_sampling
A_alpha__F0__n1000000__a1000__t10000000__ours__sampling	A_alpha	F0	1000000	1000	10000000	ours	sampling
A_alpha__F0__n1000000__a1000__t10000000__kd_tree__sampling	A_alpha	F0	1000000	1000	10000000	kd_tree	sampling
A_alpha__F1__n1000000__a1000__t10000000__ours__enum_sampling	A_alpha	F1	1000000	1000	10000000	ours	enum_sampling
A_alpha__F1__n1000000__a1000__t10000000__ours__sampling	A_alpha	F1	1000000	1000	10000000	ours	sampling
A_alpha__F1__n1000000__a1000__t10000000__kd_tree__sampling	A_alpha	F1	1000000	1000	10000000	kd_tree	sampling
